DescripcionCIAN,ActividadBMXID,DescripcionBMX
CONFECCION DE ROPA DE MATERIALES TEXTILES,2421014,FABRICACION DE CORSETERIA Y ROPA INTERIOR PARA DAMA
CONFECCION DE ROPA DE MATERIALES TEXTILES,2419051,FABRICACION DE REBOZOS Y CINTURONES TEJIDOS DE HILO
CONFECCION DE ROPA DE MATERIALES TEXTILES,2419043,FABRICACION DE MANTONES Y CHALINAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2419035,FABRICACION DE TIRANTES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2419027,FABRICACION DE IMPERMEABLES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2419019,FABRICACION DE CHAMARRAS Y ABRIGOS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2416031,FABRICACION DE PAÑUELOS PAÑOLETAS Y MASCADAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2416023,FABRICACION DE GUANTES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2416015,FABRICACION DE CORBATAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2412039,TALLER DE SASTRERIA
CONFECCION DE ROPA DE MATERIALES TEXTILES,2411023,TALLER DE CONFECCION DE VESTIDOS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2400000,FABRICACIÓN DE PRENDAS DE VESTIR Y OTROS ARTÍCULOS CONFECCIONADOS CON TEXTILES Y OTROS MATERIALES EXCEPTO CALZADO
CONFECCION DE ROPA DE MATERIALES TEXTILES,2322014,FABRICACION DE SUETERES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2318021,FABRICACION DE ENCAJES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2318013,FABRICACION DE CINTAS AGUJETAS Y LISTONES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2317023,FABRICACION DE OTROS ARTICULOS DE LANA
CONFECCION DE ROPA DE MATERIALES TEXTILES,2317015,FABRICACION DE HILADOS Y TEJIDOS DE SEDA
CONFECCION DE ROPA DE MATERIALES TEXTILES,2316025,FABRICACION DE COLCHAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2316017,FABRICACION DE TOALLAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2315027,FABRICACION DE CASIMIRES Y PAÑOS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2315019,FABRICACION DE SARAPES Y COBIJAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2312023,BENEFICIO DE OTRAS FIBRAS TEXTILES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2300002,INDUSTRIA TEXTIL (FABRICACIÓN DE: HILADOS Y TEJIDOS)
CONFECCION DE ACCESORIOS DE VESTIR,,
CURTIDO Y ACABADO DE CUERO Y PIEL,2521012,CURTIDURIA
CURTIDO Y ACABADO DE CUERO Y PIEL,2434025,FORRADO DE BOTONES Y HEBILLAS
FABRICACION DE CALZADO,3995026,FABRICACION DE HORMAS PARA CALZADO Y TACONES
FABRICACION DE CALZADO,2511013,FABRICACION DE CALZADO PARA DEPORTE EXCEPTO DE PLASTICO Y HULE
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",6226030170,COMPRA VENTA DE SILLAS DE MONTAR
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",6226022170,COMPRA VENTA DE OTROS ARTICULOS DE PIEL
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529115,TALABARTERIA
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529107,FABRICACION DE OTROS ARTICULOS DE CUERO
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529090,FABRICACION DE FORNITURAS MILITARES DE CUERO
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529074,FABRICACION DE BOLSAS Y CARTERAS DE CUERO
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529066,FABRICACION DE BANDAS Y CORREAS DE CUERO
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529058,FABRICACION DE ARTICULOS TEJIDOS DE CUERO
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529040,FABRICACION DE ARTICULOS DE CUERO Y PIEL PARA ZAPATERO
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529032,FABRICACION DE ARTICULOS DE CUERO Y HUESO
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2529024,FABRICACION DE ARTICULOS DE CUERO PARA VIAJE
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2519017,FABRICACION DE CALZADO DE CUERO O PIEL
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2512029060,FABRICACION DE HUARACHES Y SANDALIAS
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2419069,FABRICACION DE ROPA CON PIEL
"FABRICACION DE OTROS PRODUCTOS DE CUERO, PIEL Y  MATERIALES SUCEDANEOS",2012045,FABRICACION DE ENCURTIDOS
ASERRADO Y CONSERVACION DE LA MADERA,6624010170,COMPRA VENTA DE MADERA
ASERRADO Y CONSERVACION DE LA MADERA,391011030,SERVICIOS DE CORTADO ESTIMACION DEL VOLUMEN DE MADERA PROTECCION DE BOSQUES Y OTROS SERVICIOS RELACIONADOS
ASERRADO Y CONSERVACION DE LA MADERA,2611011,ASERRADERO
ASERRADO Y CONSERVACION DE LA MADERA,0312017,EXTRACCION DE TRONCOS PARA ASERRADEROS Y PARA PULPA INCLUSO LA MADERA TOSCAMENTE ASERRADA
FABRICACION DE LAMINADOS Y AGLUTINADOS DE MADERA,2633015,FABRICACION DE DUELAS Y OTROS MATERIALES DE MADERA PARA PISO
FABRICACION DE PRODUCTOS DE MADERA PARA LA CONSTRUCCION,2612019,FABRICACION DE TRIPLAY Y OTROS AGLOMERADOS DE MADERA
FABRICACION DE PRODUCTOS DE MADERA PARA LA CONSTRUCCION,2611029060,BENEFICIO DE MADERAS (DESFLEMADO  ESTUFADO  CEPILLADO  ETC.)
FABRICACION DE PRODUCTOS PARA EMBALAJE Y ENVASES DE MADERA,,
FABRICACION DE OTROS PRODUCTOS DE MADERA,6713011,COMPRAVENTA DE MAQUINARIA EQUIPO IMPLEMENTOS Y HERRAMIENTAS PARA TRABAJAR LA MADERA METALES Y OTROS MATERIALES
FABRICACION DE OTROS PRODUCTOS DE MADERA,6624010,COMPRAVENTA DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2719013,FABRICACION DE MARCOS Y MOLDURAS DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2639039,FABRICACION DE OTROS ARTICULOS DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2639021,FABRICACION DE MANGOS DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2639013,FABRICACION DE CARROCERIAS Y REDILAS DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2633023,FABRICACION DE PUERTAS Y VENTANAS DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2632033,FABRICACION DE ASBESTOS Y CORCHOS AISLANTES
FABRICACION DE OTROS PRODUCTOS DE MADERA,2632025,FABRICACION DE OTROS ARTICULOS DE CORCHO
FABRICACION DE OTROS PRODUCTOS DE MADERA,2631019,FABRICACION DE ATAUDES DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2621028,FABRICACION DE TONELES Y BARRICAS DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2621010,FABRICACION DE CAJAS Y EMPAQUES DE MADERA
FABRICACION DE OTROS PRODUCTOS DE MADERA,2611029,BENEFICIO DE MADERAS (DESFLEMADO ESTUFADO CEPILLADO ETC)
FABRICACION DE OTROS PRODUCTOS DE MADERA,0391011,SERVICIOS DE CORTADO ESTIMACION DEL VOLUMEN DE MADERA PROTECCION DE BOSQUES Y OTROS SERVICIOS RELATIVOS A LA EXPLOTACION FORESTAL
FABRICACION DE CELULOSA,2811041,FABRICACION DE PASTA O PULPA PARA PAPEL
FABRICACION DE CELULOSA,2811033,FABRICACION DE PASTA DE CELULOSA
FABRICACION DE PAPEL,2811025,FABRICACION DE PAPEL PARA CIGARROS
FABRICACION DE PAPEL,2811017,FABRICACION DE PAPEL
FABRICACION DE CARTON,2812015,FABRICACION DE CARTON
FABRICACION DE ENVASES DE CARTON,,
FABRICACION DE BOLSAS DE PAPEL Y PRODUCTOS CELULOSICOS RECUBIERTOS Y TRATADOS,2821016,FABRICACION DE SACOS Y BOLSAS DE PAPEL PARA ENVASE
FABRICACION DE PRODUCTOS DE PAPELERIA,,
FABRICACION DE OTROS PRODUCTOS DE PAPEL Y CARTON,2921030,FABRICACION DE LIBRETAS CUADERNOS Y HOJAS PARA ENCUADERNACION
FABRICACION DE OTROS PRODUCTOS DE PAPEL Y CARTON,2921022,FABRICACION DE FORMULARIOS Y FORMAS CONTINUAS
FABRICACION DE OTROS PRODUCTOS DE PAPEL Y CARTON,2829028,FABRICACION DE OTROS ARTICULOS DE PAPEL
FABRICACION DE OTROS PRODUCTOS DE PAPEL Y CARTON,2829010,FABRICACION DE OTROS ARTICULOS DE CARTON
FABRICACION DE OTROS PRODUCTOS DE PAPEL Y CARTON,2822014,FABRICACION DE ENVASES DE CARTON
IMPRESION,2929050,GRABADO EN METAL (FABRICACION DE CLICHES Y FOTOGRABADO)
IMPRESION,2929042,GRABADO E IMPRESION FOTOMECANICA MEDIANTE AGUA FUERTE(HELIOGRABADO)
IMPRESION,2929034,GRABADO E IMPRESION EN PIEDRA  VIDRIO Y OTROS MATERIALES LITOGRAFIA Y FOTOLITOGRAFIA
IMPRESION,2921072,IMPRESION MEDIANTE CILINDROS (ROTOGRABADO)
IMPRESION,2921064,IMPRESION MEDIANTE CILINDROS DE CAUCHO
IMPRESION,2921056060,IMPRENTA ( TIPOGRAFIA )
INDUSTRIAS CONEXAS A LA IMPRESION,3931012,FABRICACION DE MEDALLAS INSIGNIAS Y PLACAS
INDUSTRIAS CONEXAS A LA IMPRESION,3912020,FABRICACION DE MATERIAL FOTOGRAFICO
INDUSTRIAS CONEXAS A LA IMPRESION,2929026,FABRICACION DE TIPOS PARA IMPRENTA
INDUSTRIAS CONEXAS A LA IMPRESION,2929018,FABRICACION DE CALCOMANIAS
INDUSTRIAS CONEXAS A LA IMPRESION,2921056,IMPRENTA ( TIPOGRAFIA)
REFINACION DE PETROLEO,6514013,COMPRAVENTA DE PETROLEO COMBUSTIBLE
REFINACION DE PETROLEO,3111010140,FABRICACION DE GASOLINA Y OTROS PRODUCTOS DERIVADOS DE LA REFINACION DE PETROLEO (GOBIERNO)
REFINACION DE PETROLEO,3111010,FABRICACION DE GASOLINA Y OTROS PRODUCTOS DERIVADOS DE LA REFINACION DE PETROLEO
REFINACION DE PETROLEO,1221019,PIDIREGAS PETROLEO
REFINACION DE PETROLEO,1211911,CARTERA PETROLERA DE ESTADOS ANALITICOS
REFINACION DE PETROLEO,1211903,USUARIOS MENORES PETROLEO
FABRICACION DE PRODUCTOS DE ASFALTO,3122017170,FABRICACION DE MATERIALES ASFALTICOS PARA PAVIMENTACION Y TECHADO (GOBIERNO)
FABRICACION DE PRODUCTOS DE ASFALTO,3122017,FABRICACION DE MATERIALES ASFALTICOS PARA PAVIMENTACION Y TECHADO
FABRICACION DE OTROS PRODUCTOS DERIVADOS DEL PETROLEO Y DEL CARBON,6519013170,COMPRA VENTA DE CARBON Y OTROS COMBUSTIBLES
FABRICACION DE OTROS PRODUCTOS DERIVADOS DEL PETROLEO Y DEL CARBON,3222023,FABRICACION DE CELULOIDE Y POLIETILENO
FABRICACION DE OTROS PRODUCTOS DERIVADOS DEL PETROLEO Y DEL CARBON,3222015,FABRICACION DE ARTICULOS DE POLIETILENO
FABRICACION DE OTROS PRODUCTOS DERIVADOS DEL PETROLEO Y DEL CARBON,3121019,FABRICACION DE COQUE Y OTROS DERIVADOS DEL CARBON MINERAL
FABRICACION DE OTROS PRODUCTOS DERIVADOS DEL PETROLEO Y DEL CARBON,3112018160,FABRICACION DE PRODUCTOS PETROQUIMICOS BASICOS (GOBIERNO)
FABRICACION DE OTROS PRODUCTOS DERIVADOS DEL PETROLEO Y DEL CARBON,3112018,FABRICACION DE PRODUCTOS PETROQUIMICOS BASICOS
FABRICACION DE PRODUCTOS PETROQUIMICOS,,
FABRICACION DE GASES INDUSTRIALES,6511019170,COMPRA VENTA DE FLUIDOS Y GASES
FABRICACION DE GASES INDUSTRIALES,3012010160,FABRICACION DE GAS ACETILENO (GOBIERNO)
FABRICACION DE GASES INDUSTRIALES,3012010,FABRICACION DE GAS ACETILENO
FABRICACION DE PIGMENTOS Y COLORANTES SINTETICOS,6623012170,COMPRA VENTA DE COLORANTES PARA LA INDUSTRIA
FABRICACION DE PIGMENTOS Y COLORANTES SINTETICOS,3041019,FABRICACION DE PINTURAS  BARNICES Y LACAS
FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,3013042160,FABRICACION DE SOSA (GOBIERNO)
FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS INORGANICOS,3013042,FABRICACION DE SOSA
FABRICACION DE OTROS PRODUCTOS QUIMICOS BASICOS ORGANICOS,,
FABRICACION DE HULES Y RESINAS SINTETICOS,3229079,FABRICACION DE PIELES ARTIFICIALES
FABRICACION DE HULES Y RESINAS SINTETICOS,3219020,FABRICACION DE LINOLEO
FABRICACION DE HULES Y RESINAS SINTETICOS,3032018,FABRICACION DE FIBRAS SINTETICAS
FABRICACION DE HULES Y RESINAS SINTETICOS,0322040,EXTRACCION DE OTRAS RESINAS
FABRICACION DE FIBRAS QUIMICAS,,
FABRICACION DE FERTILIZANTES,6691019170,COMPRA VENTA DE FERTILIZANTES Y PLAGUICIDAS
FABRICACION DE FERTILIZANTES,6132021170,COMPRA VENTA DE ESPECIAS Y ARTICULOS ALIMENTICOS DESHIDRATADOS
"FABRICACION DE PESTICIDAS Y AGROQUIMICOS, EXCEPTO FERTILIZANTES",3022019,FABRICACION DE INSECTICIDAS Y PLAGUICIDAS
"FABRICACION DE PESTICIDAS Y AGROQUIMICOS, EXCEPTO FERTILIZANTES",3021011,FABRICACION DE ABONOS Y FERTILIZANTES QUIMICOS
FABRICACION DE PRODUCTOS FARMACEUTICOS,6232011,DISTRIBUCION DE OTROS PRODUCTOS QUIMICOS FARMACEUTICOS
FABRICACION DE PRODUCTOS FARMACEUTICOS,3051026,FABRICACION DE OTROS PRODUCTOS FARMACEUTICOS Y MEDICAMENTOS
FABRICACION DE PINTURAS Y RECUBRIMIENTOS,3092012,FABRICACION DE CERA PULIMENTOS Y ABRILLANTADORES
FABRICACION DE PINTURAS Y RECUBRIMIENTOS,3091022,FABRICACION DE IMPERMEABILIZANTES
FABRICACION DE ADHESIVOS Y SELLADORES,3091014,FABRICACION DE COLAS Y PEGAMENTOS
"FABRICACION DE JABONES, LIMPIADORES Y DENTIFRICOS",3996016,FABRICACION DE ESCOBAS
"FABRICACION DE JABONES, LIMPIADORES Y DENTIFRICOS",3061025,FABRICACION DE JABON Y DETERGENTE
"FABRICACION DE JABONES, LIMPIADORES Y DENTIFRICOS",3061017,FABRICACION DE DENTIFRICO
"FABRICACION DE COSMETICOS, PERFUMES Y OTRAS PREPARACIONES DE TOCADOR",3071016,FABRICACION DE ESENCIAS
"FABRICACION DE COSMETICOS, PERFUMES Y OTRAS PREPARACIONES DE TOCADOR",3062015,FABRICACION DE PERFUMES Y COSMETICOS
FABRICACION DE TINTAS PARA IMPRESION,3096014,FABRICACION DE TINTAS PARA IMPRESION
FABRICACION DE TINTAS PARA IMPRESION,3011038160,FABRICACION DE OTRAS MATERIAS COLORANTES (GOBIERNO)
FABRICACION DE TINTAS PARA IMPRESION,3011038,FABRICACION DE OTRAS MATERIAS COLORANTES
FABRICACION DE EXPLOSIVOS,3097012,FABRICACION DE DINAMITA
FABRICACION DE OTROS PRODUCTOS QUIMICOS,6695011,COMPRAVENTA DE SUBSTANCIAS QUIMICAS PARA LA INDUSTRIA
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3999086,FABRICACION DE TALCO INDUSTRIAL
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3099026,FABRICACION DE DESINCRUSTANTES
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3092020,FABRICACION DE DESINFECTANTES Y DESODORIZANTES
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3072030,HIDROGENADORA DE PRODUCTOS DIVERSOS
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3013034160,FABRICACION DE PRODUCTOS AMONIACALES (GOBIERNO)
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3013034,FABRICACION DE PRODUCTOS AMONIACALES
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3013026160,FABRICACION DE OTRAS SUBSTANCIAS QUIMICAS BASICAS (GOBIERNO)
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3013026,FABRICACION DE OTRAS SUBSTANCIAS QUIMICAS BASICAS
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3013018160,FABRICACION DE ACIDOS INDUSTRIALES (GOBIERNO)
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3013018,FABRICACION DE ACIDOS INDUSTRIALES
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3011020160,FABRICACION DE ANILINAS (GOBIERNO)
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3011020,FABRICACION DE ANILINAS
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3011012160,FABRICACION DE ANIL (GOBIERNO)
FABRICACION DE OTROS PRODUCTOS QUIMICOS,3011012,FABRICACION DE ANIL
FABRICACION DE BOLSAS Y PELICULAS DE PLASTICO FLEXIBLE SIN SOPORTE,,
"FABRICACION DE PERFILES, TUBERIA Y CONEXIONES DE PLASTICO RIGIDO SIN SOPORTE",,
FABRICACION DE LAMINADOS RIGIDOS DE PLASTICO SIN SOPORTE,,
FABRICACION DE ESPUMAS Y PRODUCTOS DE POLIESTIRENO,,
FABRICACION DE ESPUMAS Y PRODUCTOS DE URETANO,,
FABRICACION DE BOTELLAS DE PLASTICO,3332020,FABRICACION DE PRODUCTOS REFRACTARIOS
FABRICACION DE BOTELLAS DE PLASTICO,3323029,FABRICACION DE BOTELLAS
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,6999041170,COMPRA VENTA DE OTROS ARTICULOS DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,6999041,COMPRAVENTA DE OTROS ARTICULOS DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3999044,FABRICACION DE BASTONES PARAGUAS Y SOMBRILLAS
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3229061,FABRICACION DE PEINES PEINETAS Y CEPILLOS PARA USO PERSONAL
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3229053,FABRICACION DE OTROS MATERIALES DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3229045,FABRICACION DE OTROS ARTICULOS DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3229037,FABRICACION DE BOTONES DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3229011,FABRICACION DE ARTICULOS DE CELULOIDE
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3223021,FABRICACION DE OTROS JUGUETES DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3223013,FABRICACION DE CALZADO DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3221017,FABRICACION DE LAMINAS PERFILES TUBOS Y OTROS MATERIALES SIMILARES DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3200003,FABRICACIÓN DE PRODUCTOS DE HULE Y DE PLÁSTICO
FABRICACION DE OTROS PRODUCTOS DE PLASTICO,3099018,FABRICACION DE ARTICULOS DE BAQUELITA
FABRICACION Y REVITALIZACION DE LLANTAS,6814017470,COMPRA VENTA DE LLANTAS
FABRICACION Y REVITALIZACION DE LLANTAS,3212024,VULCANIZACION DE LLANTAS Y CAMARAS
FABRICACION Y REVITALIZACION DE LLANTAS,3211018,FABRICACION DE LLANTAS Y CAMARAS PARA VEHICULOS
FABRICACION DE BANDAS Y MANGUERAS DE HULE Y DE PLASTICO,2391019,FABRICACION DE ARTICULOS DE LONA
FABRICACION DE OTROS PRODUCTOS DE HULE,6999067,COMPRAVENTA DE OTROS PRODUCTOS DE HULE
FABRICACION DE OTROS PRODUCTOS DE HULE,3991016,FABRICACION DE JUGUETES EXCEPTO LOS DE HULE Y DE PLASTICO MOLDEADOS
FABRICACION DE OTROS PRODUCTOS DE HULE,3229029,FABRICACION DE BALONES GLOBOS Y PELOTAS
FABRICACION DE OTROS PRODUCTOS DE HULE,3219038,FABRICACION DE OTROS ARTICULOS DE HULE
FABRICACION DE OTROS PRODUCTOS DE HULE,3219012,FABRICACION DE ARTICULOS CON HULE USADO
FABRICACION DE OTROS PRODUCTOS DE HULE,3212016,REGENERACION DE HULE
FABRICACION DE OTROS PRODUCTOS DE HULE,3031010,FABRICACION DE HULE ESPUMA
FABRICACION DE OTROS PRODUCTOS DE HULE,2391027,FABRICACION DE LONA
FABRICACION DE OTROS PRODUCTOS DE HULE,0322024,EXPLOTACION DE HULE
FABRICACION DE OTROS PRODUCTOS DE HULE,0322016,EXPLOTACION DE CANDELILLA
"FABRICACION DE ARTICULOS DE ALFARERIA, PORCELANA, LOZA Y MUEBLES DE BAÑO",6321012170,COMPRA VENTA DE ARTICULOS DE CRISTAL LOZA Y PORCELANA
"FABRICACION DE ARTICULOS DE ALFARERIA, PORCELANA, LOZA Y MUEBLES DE BAÑO",3319036,FABRICACION DE LOZA Y PORCELANA
"FABRICACION DE ARTICULOS DE ALFARERIA, PORCELANA, LOZA Y MUEBLES DE BAÑO",3319010,ELABORACION DE OBJETOS ARTISTICOS DE ALFARERIA Y CERAMICA
"FABRICACION DE ARTICULOS DE ALFARERIA, PORCELANA, LOZA Y MUEBLES DE BAÑO",3311016060,FABRICACION DE VAJILLAS Y OTROS PRODUCTOS DE ALFARERIA Y CERAMICA   PARA EL HOGAR
"FABRICACION DE ARTICULOS DE ALFARERIA, PORCELANA, LOZA Y MUEBLES DE BAÑO",2312015,BENEFICIO DE LANAS
FABRICACION DE PRODUCTOS A BASE DE ARCILLA PARA LA CONSTRUCCION,3331030,FABRICACION DE TEJA Y TUBO DE ARCILLA
FABRICACION DE PRODUCTOS A BASE DE ARCILLA PARA LA CONSTRUCCION,3331014,FABRICACION DE ADOBE
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,8949896,CARTERA DE OTRAS ACTIVIDADES DE ESTADOS ANALITICOS
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,8949888,USUARIOS MENORES OTRAS ACTIVIDADES
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,6625018,COMPRAVENTA DE VIDRIOS CRISTALES Y EMPLOMADOS
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3999094,FABRICACION DE TRAGALUCES Y MARQUESINAS
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3329035,FABRICACION DE OTROS OBJETOS DE CRISTAL
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3329027,FABRICACION DE OBJETOS ARTISTICOS DE VIDRIO Y CRISTAL
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3329019,FABRICACION DE ESFERAS DE VIDRIO
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3324027,FABRICACION DE ESPEJOS Y LUNAS
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3324019,FABRICACION DE EMPLOMADOS
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3323045,FABRICACION DE OTROS ENVASES DE VIDRIO
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3323037,FABRICACION DE CRISOLES
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3322021,FABRICACION DE FIBRA DE VIDRIO
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3322013,FABRICACION DE CRISTALES PARA AUTOMOVIL
FABRICACION DE VIDRIO Y PRODUCTOS DE VIDRIO,3321015,FABRICACION DE VIDRIO
FABRICACION DE CEMENTO PARA LA CONSTRUCCION,3341039,FABRICACION DE CONCRETO PARA CONSTRUCCION
FABRICACION DE CEMENTO PARA LA CONSTRUCCION,3341013,FABRICACION DE CEMENTO
FABRICACION DE CONCRETO,,
FABRICACION DE TUBOS Y BLOQUES DE CEMENTO Y CONCRETO,3354032,FABRICACION DE TUBOS DE CONCRETO
FABRICACION DE TUBOS Y BLOQUES DE CEMENTO Y CONCRETO,3354024,FABRICACION DE POSTES Y DURMIENTES DE CONCRETO
FABRICACION DE TUBOS Y BLOQUES DE CEMENTO Y CONCRETO,3342011,FABRICACION DE BLOQUES DE CEMENTO
FABRICACION DE TUBOS Y BLOQUES DE CEMENTO Y CONCRETO,3331022,FABRICACION DE LADRILLOS
FABRICACION DE TUBOS Y BLOQUES DE CEMENTO Y CONCRETO,3221017060,FABRICACION DE LAMINAS PERFILES TUBOS Y OTROS MATERIALES SIMILARES  DE PLASTICO
FABRICACION DE OTROS PRODUCTOS DE CEMENTO Y CONCRETO,3341021,FABRICACION DE CONCRETO CIENTIFICO
FABRICACION DE CAL,3343019,HORNO DE CAL
FABRICACION DE YESO Y PRODUCTOS DE YESO,3342029,FABRICACION DE YESO
FABRICACION DE PRODUCTOS ABRASIVOS,3352010,FABRICACION DE ABRASIVOS
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3933018,FABRICACION DE ARTICULOS DE QUINCALLERIA Y BISUTERIA
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3599018,FABRICACION DE ALFILERES AGUJAS Y BROCHES
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3354016,FABRICACION DE MOSAICOS TERRAZOS Y GRANITO
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3351012,FABRICACION DE TINACOS DE ASBESTO
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3097054,FABRICACION DE PRODUCTOS PIROTECNICOS
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3097046,FABRICACION DE POLVORA
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3097038,FABRICACION DE OTROS EXPLOSIVOS
FABRICACION DE OTROS PRODUCTOS A BASE DE  MINERALES NO METALICOS,3097020,FABRICACION DE MECHAS PARA MINAS
INDUSTRIA BASICA DEL HIERRO Y DEL ACERO,6694013,COMPRAVENTA DE FIERRO USADO
INDUSTRIA BASICA DEL HIERRO Y DEL ACERO,6622014,COMPRAVENTA DE FIERRO LAMINADO Y EN LINGOTES
FABRICACION DE TUBOS Y POSTES DE HIERRO Y ACERO DE MATERIAL COMPRADO,3596022,FABRICACION DE TUBOS DE COBRE  PLOMO Y ALUMINIO
